from,to,distance
GATE-1,JCT-1,30.38
JCT-1,JCT-2,40.69
JCT-2,JCT-4,31.56
JCT-4,mws,38.72
VIMB-D,GATE-2,49.86
JCT-3,A2,37.21
JCT-3,A3,37.21
JCT-3,A4,0
JCT-3,A5,37.21
JCT-3,A6,37.21
JCT-3,A7,37.21
JCT-3,A8,37.21
JCT-3,A9,37.21
JCT-3,A10,37.21
JCT-3,A11,37.21
JCT-3,TT-M-1,37.16
JCT-3,TT-M-2,37.16
JCT-3,TT10-1-1,37.16
JCT-3,TT10-1-2,37.16
JCT-3,TT3-1,37.16
JCT-3,TT4-1,37.16
JCT-3,TT4-2,37.16
JCT-3,TT5-1,37.16
JCT-3,TT5-2,37.16
JCT-3,TT8-1,37.16
JCT-3,TT8-2,37.16
JCT-3,TT8-3,37.16
JCT-3,TT9-1,37.16
JCT-3,Block-A,37.21
JCT-1,JCT-3,27.63
JCT-3,Lib-1,19.97
JCT-3,Lib-2,19.97
JCT-3,Lib-3,19.97
JCT-3,TT,37.16
JCT-3,TT-Basement,37.16
JCT-3,lab,56.16
JCT-3,L1,56.16
JCT-3,L2,56.16
JCT-3,L3,56.16
JCT-3,L4,56.16
JCT-3,L5,56.16
JCT-3,L6,56.16
GATE-1,Block-B,35.91
GATE-1,ASA,35.91
GATE-1,B10,35.91
GATE-1,B11,35.91
GATE-1,B12,35.91
GATE-1,B14,35.91
GATE-1,B15,35.91
GATE-1,B9,35.91
GATE-1,Block-C,80.54
GATE-1,C1,80.54
GATE-1,C2,80.54
JCT-1,Block-B,31.48
JCT-1,ASA,31.48
JCT-1,B10,31.48
JCT-1,B11,31.48
JCT-1,B12,31.48
JCT-1,B14,31.48
JCT-1,B15,31.48
JCT-1,B9,31.48
JCT-5,Block-B,33.55
JCT-5,ASA,33.55
JCT-5,B10,33.55
JCT-5,B11,33.55
JCT-5,B12,33.55
JCT-5,B14,33.55
JCT-5,B15,33.55
JCT-5,B9,33.55
JCT-5,Block-C,36.57
JCT-5,C1,36.57
JCT-5,C2,36.57
JCT-2,Block-B,45.31
JCT-2,ASA,45.31
JCT-2,B10,45.31
JCT-2,B11,45.31
JCT-2,B12,45.31
JCT-2,B14,45.31
JCT-2,B15,45.31
JCT-2,B9,45.31
JCT-2,JCT-5,29.86
JCT-5,EW,36.71
BLOCK-C,VIMB-C,0
JCT-2,W9,10.43
JCT-2,W8R,11.89
JCT-2,W8F,11.89
W8R,w7,8.21
w7,w6,20.93
JCT-3,w6,30.04
JCT-5,W9,23.98
JCT-1,JCT-5,50.58
w6,TT-Basement,42.29
w6,TT-M-1,42.29
w6,TT-M-2,42.29
w6,TT10-1-1,42.29
w6,TT10-1-2,42.29
w6,TT3-1,42.29
w6,TT4-1,42.29
w6,TT4-2,42.29
w6,TT5-1,42.29
w6,TT5-2,42.29
w6,TT8-1,42.29
w6,TT8-2,42.29
w6,TT8-3,42.29
w6,TT9-1,42.29
w6,JCT-3,30.04
JCT-3,JCT-5,71.36
JCT-5,JCT-3,71.36
GATE-3,Canteen,30.37
GATE-3,JCT-4,56.87
GATE-3,soil Lab,43.05
Canteen,soil Lab,26.16
soil Lab,JCT-4,29.52
Canteen,GATE-3,30.37
JCT-4,GATE-3,56.87
JCT-4,Canteen,53.23
JCT-4,soil Lab,29.52
JCT-4,workshop,36.19
mws,JCT-4,38.72
mws,workshop,42.68
JCT-4,mws,38.72
W15-1,JCT-4,38.72
W15-2,JCT-4,38.72
W15-1,workshop,42.68
W15-2,workshop,42.68
JCT-4,W15-1,38.72
JCT-4,W15-2,38.72
JCT-4,JCT-6,55.99
JCT-6,workshop,32.31
JCT-6,w17,39.63
JCT-6,w18,67.25
