from,to,distance
A10,JCT-3,37.21
JCT-3,A10,37.21
A11,JCT-3,37.21
JCT-3,A11,37.21
A2,JCT-3,37.21
JCT-3,A2,37.21
A3,JCT-3,37.21
JCT-3,A3,37.21
JCT-3,A4,0.0
A4,JCT-3,0.0
JCT-3,A5,37.21
A5,JCT-3,37.21
A6,JCT-3,37.21
JCT-3,A6,37.21
JCT-3,A7,37.21
A7,JCT-3,37.21
A8,JCT-3,37.21
JCT-3,A8,37.21
A9,JCT-3,37.21
JCT-3,A9,37.21
ASA,GATE-1,35.91
GATE-1,ASA,35.91
JCT-1,ASA,31.48
ASA,JCT-1,31.48
JCT-2,ASA,45.31
ASA,JCT-2,45.31
JCT-5,ASA,33.55
ASA,JCT-5,33.55
GATE-1,B10,35.91
B10,GATE-1,35.91
JCT-1,B10,31.48
B10,JCT-1,31.48
JCT-2,B10,45.31
B10,JCT-2,45.31
B10,JCT-5,33.55
JCT-5,B10,33.55
B11,GATE-1,35.91
GATE-1,B11,35.91
JCT-1,B11,31.48
B11,JCT-1,31.48
JCT-2,B11,45.31
B11,JCT-2,45.31
B11,JCT-5,33.55
JCT-5,B11,33.55
B12,GATE-1,35.91
GATE-1,B12,35.91
JCT-1,B12,31.48
B12,JCT-1,31.48
B12,JCT-2,45.31
JCT-2,B12,45.31
JCT-5,B12,33.55
B12,JCT-5,33.55
B14,GATE-1,35.91
GATE-1,B14,35.91
B14,JCT-1,31.48
JCT-1,B14,31.48
JCT-2,B14,45.31
B14,JCT-2,45.31
B14,JCT-5,33.55
JCT-5,B14,33.55
GATE-1,B15,35.91
B15,GATE-1,35.91
B15,JCT-1,31.48
JCT-1,B15,31.48
B15,JCT-2,45.31
JCT-2,B15,45.31
B15,JCT-5,33.55
JCT-5,B15,33.55
B9,GATE-1,35.91
GATE-1,B9,35.91
B9,JCT-1,31.48
JCT-1,B9,31.48
JCT-2,B9,45.31
B9,JCT-2,45.31
JCT-5,B9,33.55
B9,JCT-5,33.55
BLOCK-C,VIMB-C,0.0
VIMB-C,BLOCK-C,0.0
Block-2,Block-1,33.52
Block-1,Block-2,33.52
Block-1,R1-1,67.07
R1-1,Block-1,67.07
R1-2,Block-1,67.07
Block-1,R1-2,67.07
R2-1,Block-1,67.07
Block-1,R2-1,67.07
Block-1,R2-2,67.07
R2-2,Block-1,67.07
RAFIC,Block-1,67.07
Block-1,RAFIC,67.07
Block-1,RG-1,67.07
RG-1,Block-1,67.07
RG-2,Block-1,67.07
Block-1,RG-2,67.07
VIMB-D,Block-1,50.32
Block-1,VIMB-D,50.32
Block-1,volleyball,42.54
volleyball,Block-1,42.54
Block-2,Block-3,53.86
Block-3,Block-2,53.86
Block-2,DH,49.48
DH,Block-2,49.48
R1-1,Block-2,70.26
Block-2,R1-1,70.26
R1-2,Block-2,70.26
Block-2,R1-2,70.26
Block-2,R2-1,70.26
R2-1,Block-2,70.26
R2-2,Block-2,70.26
Block-2,R2-2,70.26
Block-2,RAFIC,70.26
RAFIC,Block-2,70.26
Block-2,RG-1,70.26
RG-1,Block-2,70.26
RG-2,Block-2,70.26
Block-2,RG-2,70.26
Block-2,volleyball,20.24
volleyball,Block-2,20.24
Block-3,Block-4,40.23
Block-4,Block-3,40.23
DH,Block-3,55.2
Block-3,DH,55.2
Block-3,JCT-7,33.61
JCT-7,Block-3,33.61
Block-3,R1-1,32.24
R1-1,Block-3,32.24
Block-3,R1-2,32.24
R1-2,Block-3,32.24
R2-1,Block-3,32.24
Block-3,R2-1,32.24
Block-3,R2-2,32.24
R2-2,Block-3,32.24
RAFIC,Block-3,32.24
Block-3,RAFIC,32.24
RG-1,Block-3,32.24
Block-3,RG-1,32.24
Block-3,RG-2,32.24
RG-2,Block-3,32.24
Block-3,volleyball,33.74
volleyball,Block-3,33.74
Block-4,DH,41.31
DH,Block-4,41.31
JCT-7,Block-4,41.12
Block-4,JCT-7,41.12
Block-4,VIMB-DH,25.42
VIMB-DH,Block-4,25.42
basket,Block-4,68.43
Block-4,basket,68.43
soccer,Block-4,70.13
Block-4,soccer,70.13
JCT-3,Block-A,37.21
Block-A,JCT-3,37.21
GATE-1,Block-B,35.91
Block-B,GATE-1,35.91
Block-B,JCT-1,31.48
JCT-1,Block-B,31.48
Block-B,JCT-2,45.31
JCT-2,Block-B,45.31
JCT-5,Block-B,33.55
Block-B,JCT-5,33.55
Block-C,GATE-1,80.54
GATE-1,Block-C,80.54
JCT-5,Block-C,36.57
Block-C,JCT-5,36.57
GATE-1,C1,80.54
C1,GATE-1,80.54
C1,JCT-5,36.57
JCT-5,C1,36.57
C2,GATE-1,80.54
GATE-1,C2,80.54
C2,JCT-5,36.57
JCT-5,C2,36.57
Canteen,GATE-3,30.37
GATE-3,Canteen,30.37
JCT-4,Canteen,53.23
Canteen,JCT-4,53.23
soil Lab,Canteen,26.16
Canteen,soil Lab,26.16
D2,Mult,15.65
Mult,D2,15.65
D2,R1-1,33.25
R1-1,D2,33.25
D2,R1-2,33.25
R1-2,D2,33.25
R2-1,D2,33.25
D2,R2-1,33.25
R2-2,D2,33.25
D2,R2-2,33.25
RAFIC,D2,33.25
D2,RAFIC,33.25
D2,RG-1,33.25
RG-1,D2,33.25
D2,RG-2,33.25
RG-2,D2,33.25
VIMB-D,D2,39.33
D2,VIMB-D,39.33
W16-1,D2,34.03
D2,W16-1,34.03
W16-2,D2,34.03
D2,W16-2,34.03
D2,computer dept,15.65
computer dept,D2,15.65
volleyball,D2,44.65
D2,volleyball,44.65
VIMB-D,D3,32.97
D3,VIMB-D,32.97
Dispensary,DH,71.33
DH,Dispensary,71.33
DH,JCT-7,75.87
JCT-7,DH,75.87
VIMB-DH,DH,36.23
DH,VIMB-DH,36.23
volleyball,DH,42.88
DH,volleyball,42.88
VIMB-DH,Dispensary,51.32
Dispensary,VIMB-DH,51.32
EW,JCT-5,36.71
JCT-5,EW,36.71
GATE-1,JCT-1,30.38
JCT-1,GATE-1,30.38
GATE-2,VIMB-D,49.86
VIMB-D,GATE-2,49.86
